Language,Domain,Meaning,Form,Comments
Barasano,Tense,a,ka,
Barasano,Tense,a,yu,
Barasano,Tense,a,sa,
Barasano,Tense,a,ria,
Barasano,Tense,a,ruyu,
Barasano,Tense,b,ruyu,
Barasano,Tense,b,yu,
Barasano,Tense,b,sa,
Barasano,Tense,b,ria,
Barasano,Tense,c,ha,
Barasano,Tense,c,bu,
Barasano,Tense,c,ruyu,
Barasano,Tense,c,yu,
Barasano,Tense,c,sa,
Barasano,Tense,c,ria,
Barasano,Tense,r,a,
Barasano,Tense,r,s,
Barasano,Tense,r,ro,
Barasano,Tense,r,go,
Barasano,Tense,r,gu,
Barasano,Tense,r,ra,
Barasano,Tense,xyz,go,
Barasano,Tense,xyz,gu,
Barasano,Tense,xyz,ra,
Barasano,Tense,xyz,ro,
Barasano,Evidentiality,v,ka,
Barasano,Evidentiality,v,ha,
Barasano,Evidentiality,v,bu,
Barasano,Evidentiality,v,a,
Barasano,Evidentiality,v,s,
Barasano,Evidentiality,s,ruyu,
Barasano,Evidentiality,s,ro,
Barasano,Evidentiality,ia,yu,
Barasano,Evidentiality,ia,su,
Barasano,Evidentiality,ia,ria,
Barasano,Evidentiality,ia,go,
Barasano,Evidentiality,ia,gu,
Barasano,Evidentiality,ia,ra,
Barasano,Evidentiality,ia,ro,
Barasano,Evidentiality,ia,rua,
Barasano,Evidentiality,hq,yu,
Barasano,Evidentiality,hq,su,
Latvian,Tense,r,u,
Latvian,Tense,r,I,
Latvian,Tense,r,,
Latvian,Tense,r,am,
Latvian,Tense,r,at,
Latvian,Tense,r,ju,
Latvian,Tense,r,,
Latvian,Tense,r,,
Latvian,Tense,r,jam,
Latvian,Tense,r,jat,
Latvian,Tense,abc,u,
Latvian,Tense,abc,I,
Latvian,Tense,abc,a,
Latvian,Tense,abc,am,
Latvian,Tense,abc,at,
Latvian,Tense,abc,ju,
Latvian,Tense,abc,ji,
Latvian,Tense,abc,ja,
Latvian,Tense,abc,jam,
Latvian,Tense,abc,jat,
Latvian,Tense,xyz,su,
Latvian,Tense,xyz,si,
Latvian,Tense,xyz,s,
Latvian,Tense,xyz,sim,
Latvian,Tense,xyz,siet,
Latvian,Tense,xyz,sit,
Latvian,Evidentiality,vsia,,
Latvian,Evidentiality,hq,ot,
Latvian,Evidentiality,hq,oties,
Lezgian,Tense,abc,nwa,
Lezgian,Tense,abc,nawa,
Lezgian,Tense,abc,na,
Lezgian,Tense,rxyz,da,
Lezgian,Evidentiality,vsia,,
Lezgian,Evidentiality,hq,lda,
Maricopa,Evidentiality,v,kyuu,
Maricopa,Evidentiality,v,yuu,
Maricopa,Evidentiality,s,ka,
Maricopa,Evidentiality,s,a,
Maricopa,Evidentiality,ia,shaa,
Maricopa,Evidentiality,hq,ish,
Meithei,Evidentiality,vs,,
Meithei,Evidentiality,iahq,lem,
Nenets,Evidentiality,s,won,
Nenets,Evidentiality,ia,mie,
Nenets,Evidentiality,ia,wedoh,
Nenets,Evidentiality,ia,weda,
Nenets,Evidentiality,ia,wi,
Nenets,Evidentiality,ia,mi,
Nenets,Evidentiality,hq,rexamie,
Nenets,Evidentiality,hq,rawi,
Nenets,Evidentiality,hq,lawi,
Nenets,Evidentiality,hq,lexawi,
Nenets,Tense,abcr,se,
Nenets,Tense,xyz,te,
Nenets,Tense,xyz,nko,
Sanuma,Evidentiality,vs,ku,
Sanuma,Evidentiality,vs,ka,
Sanuma,Evidentiality,vs,ko,
Sanuma,Evidentiality,vs,ki,
Sanuma,Evidentiality,vs,ke,
Sanuma,Evidentiality,vs,kehe,
Sanuma,Evidentiality,vs,kupi,
Sanuma,Evidentiality,vs,kopi,
Sanuma,Evidentiality,vs,kipi,
Sanuma,Evidentiality,vs,kupili,
Sanuma,Evidentiality,vs,kopili,
Sanuma,Evidentiality,vs,kipili,
Sanuma,Evidentiality,hq,noa,
Sanuma,Evidentiality,hq,no,
Sanuma,Evidentiality,hq,thai,
Sanuma,Evidentiality,hq,thali,
Sanuma,Evidentiality,ia,,
Sanuma,Evidentiality,ia,,
Sanuma,Evidentiality,ia,,
Sanuma,Evidentiality,ia,,
Sanuma,Evidentiality,ia,kite,
Turkish,Tense,xyz,ecek,
Turkish,Tense,r,ir,
Turkish,Tense,r,er,
Turkish,Tense,r,r,
Turkish,Tense,abc,di,
Turkish,Evidentiality,vs,,
Turkish,Evidentiality,iahq,mIs,
Wichita,Tense,abc,aki,
Wichita,Tense,r,ta,
Wichita,Tense,xyz,ke?e,
Wichita,Evidentiality,v,,
Wichita,Evidentiality,I,wers?,
Wichita,Evidentiality,a,kho?,
Wichita,Evidentiality,hq,kiya,
Wichita,Evidentiality,hq,ai?,
Wichita,Evidentiality,hq,kn,
Quechua,Evidentiality,vs,mi,
Quechua,Evidentiality,ia,chi,
Quechua,Evidentiality,ia,chr,
Quechua,Evidentiality,ia,chra,
Quechua,Evidentiality,hq,shi,
Enets,Evidentiality,s,mono,
Enets,Evidentiality,s,ono,
Enets,Evidentiality,s,onu,
Enets,Evidentiality,hq,bi,
Enets,Evidentiality,hq,pi,
Enets,Evidentiality,ia,tta,
Enets,Evidentiality,ia,tte,
Enets,Evidentiality,ia,toba,
Enets,Evidentiality,ia,tobe,
Enets,Evidentiality,v,,
Bora,Evidentiality,ia,?ha,
Bora,Evidentiality,hq,ba,
Bora,Evidentiality,vs,,
Tsafiki,Evidentiality,vs,,
Tsafiki,Evidentiality,I,nu,
Tsafiki,Evidentiality,a,riki,
Tsafiki,Evidentiality,hq,ti,
Shipibo-Konibo,Evidentiality,vs,ra,
Shipibo-Konibo,Evidentiality,I,bira,
Shipibo-Konibo,Evidentiality,a,mein,
Shipibo-Konibo,Evidentiality,hq,ronki,
Shipibo-Konibo,Evidentiality,hq,ki,
Sissala,Evidentiality,vsia,,
Sissala,Evidentiality,hq,r3,
Sissala,Evidentiality,hq,3,
Skidegate Haida,Evidentiality,vs,gan,
Skidegate Haida,Evidentiality,vs,an,
Skidegate Haida,Evidentiality,vs,gin,
Skidegate Haida,Evidentiality,ia,agan,
Skidegate Haida,Evidentiality,ia,gan,
Skidegate Haida,Evidentiality,ia,an,
Skidegate Haida,Evidentiality,hq,anwansuga,
Comanche,Evidentiality,h,ki,
Comanche,Evidentiality,q,me,
Comanche,Evidentiality,vsia,,
Aymara,Evidentiality,vs,wa,
Aymara,Evidentiality,vs,w,
Aymara,Evidentiality,ia,pacha,
Aymara,Evidentiality,ia,pachani,
Aymara,Evidentiality,ia,pachana,
Aymara,Evidentiality,hq,ayna,
Aymara,Evidentiality,hq,ana,
Mangap-Mbula,Evidentiality,vs,gi,
Mangap-Mbula,Evidentiality,vs,go,
Mangap-Mbula,Evidentiality,iahq,ga,
Dakota,Evidentiality,vsia,,
Dakota,Evidentiality,h,ska,
Dakota,Evidentiality,q,lo,
Dakota,Evidentiality,q,le,
Dakota,Evidentiality,q,ye,
Dakota,Evidentiality,q,ce,
Dakota,Evidentiality,q,ku,
Pawnee,Evidentiality,v,,
Pawnee,Evidentiality,s,,
Pawnee,Evidentiality,I,tir,
Pawnee,Evidentiality,a,ar,
Pawnee,Evidentiality,hq,wi,
Abkhaz,Evidentiality,vs,,
Abkhaz,Evidentiality,iahq,zaaren,
Abkhaz,Evidentiality,iahq,zaap,
Menomini,Evidentiality,q,en,
Menomini,Evidentiality,vsiah,,
Qiang,Evidentiality,v,,
Qiang,Evidentiality,v,u,
Qiang,Evidentiality,v,wu,
Qiang,Evidentiality,s,,
Qiang,Evidentiality,ia,k,
Qiang,Evidentiality,hq,I,
Amdo Tibetan,Evidentiality,v,tae,
Amdo Tibetan,Evidentiality,ia,zeg,
Amdo Tibetan,Evidentiality,hq,se,
Oksapmin,Evidentiality,v,,
Oksapmin,Evidentiality,ia,,
Oksapmin,Evidentiality,s,hah,
Oksapmin,Evidentiality,s,ham,
Oksapmin,Evidentiality,hq,riis,
Tucano,Evidentiality,v,ami,
Tucano,Evidentiality,s,asi,
Tucano,Evidentiality,ia,api,
Tucano,Evidentiality,hq,apI,
Cora,Evidentiality,vs,ku,
Cora,Evidentiality,ia,sein,
Cora,Evidentiality,h,nuu,
Cora,Evidentiality,q,yee,
Wintu,Evidentiality,v,be,
Wintu,Evidentiality,s,nte,
Wintu,Evidentiality,I,re,
Wintu,Evidentiality,a,?el,
Wintu,Evidentiality,q,ke,
Kham,Evidentiality,vsia,,
Kham,Evidentiality,hq,di,
Ngiyambaa,Evidentiality,vs,gara,
Ngiyambaa,Evidentiality,hq,dja,
Apurinã,Tense,abcrx,,
Apurinã,Tense,yz,ko,
Hungarian,Tense,r,ok,
Hungarian,Tense,r,ek,
Hungarian,Tense,r,ok,
Hungarian,Tense,r,om,
Hungarian,Tense,r,em,
Hungarian,Tense,r,om,
Hungarian,Tense,r,sz,
Hungarian,Tense,r,esz,
Hungarian,Tense,r,ol,
Hungarian,Tense,r,el,
Hungarian,Tense,r,ol,
Hungarian,Tense,r,ik,
Hungarian,Tense,r,anak,
Hungarian,Tense,r,enek,
Hungarian,Tense,r,unk,
Hungarian,Tense,r,unk,
Hungarian,Tense,r,tok,
Hungarian,Tense,r,tek,
Hungarian,Tense,r,tok,
Hungarian,Tense,r,otok,
Hungarian,Tense,r,etok,
Hungarian,Tense,r,otok,
Hungarian,Tense,r,nak,
Hungarian,Tense,r,nek,
Hungarian,Tense,abc,ottok,
Hungarian,Tense,abc,ottek,
Hungarian,Tense,abc,ottok,
Hungarian,Tense,abc,ottom,
Hungarian,Tense,abc,ottem,
Hungarian,Tense,abc,ottom,
Hungarian,Tense,abc,ottsz,
Hungarian,Tense,abc,ottesz,
Hungarian,Tense,abc,ottol,
Hungarian,Tense,abc,ottel,
Hungarian,Tense,abc,ottol,
Hungarian,Tense,abc,ottik,
Hungarian,Tense,abc,ottanak,
Hungarian,Tense,abc,ottenek,
Hungarian,Tense,abc,ottunk,
Hungarian,Tense,abc,ottunk,
Hungarian,Tense,abc,otttok,
Hungarian,Tense,abc,otttek,
Hungarian,Tense,abc,otttok,
Hungarian,Tense,abc,ottotok,
Hungarian,Tense,abc,ottetok,
Hungarian,Tense,abc,ottotok,
Hungarian,Tense,abc,ottnak,
Hungarian,Tense,abc,ottnek,
Hungarian,Tense,abc,ettok,
Hungarian,Tense,abc,ettek,
Hungarian,Tense,abc,ettok,
Hungarian,Tense,abc,ettom,
Hungarian,Tense,abc,ettem,
Hungarian,Tense,abc,ettom,
Hungarian,Tense,abc,ettsz,
Hungarian,Tense,abc,ettesz,
Hungarian,Tense,abc,ettol,
Hungarian,Tense,abc,ettel,
Hungarian,Tense,abc,ettol,
Hungarian,Tense,abc,ettik,
Hungarian,Tense,abc,ettanak,
Hungarian,Tense,abc,ettenek,
Hungarian,Tense,abc,ettunk,
Hungarian,Tense,abc,ettunk,
Hungarian,Tense,abc,etttok,
Hungarian,Tense,abc,etttek,
Hungarian,Tense,abc,etttok,
Hungarian,Tense,abc,ettotok,
Hungarian,Tense,abc,ettetok,
Hungarian,Tense,abc,ettotok,
Hungarian,Tense,abc,ettnak,
Hungarian,Tense,abc,ettnek,
Hungarian,Tense,abc,ottok,
Hungarian,Tense,abc,ottek,
Hungarian,Tense,abc,ottok,
Hungarian,Tense,abc,ottom,
Hungarian,Tense,abc,ottem,
Hungarian,Tense,abc,ottom,
Hungarian,Tense,abc,ottsz,
Hungarian,Tense,abc,ottesz,
Hungarian,Tense,abc,ottol,
Hungarian,Tense,abc,ottel,
Hungarian,Tense,abc,ottol,
Hungarian,Tense,abc,ottik,
Hungarian,Tense,abc,ottanak,
Hungarian,Tense,abc,ottenek,
Hungarian,Tense,abc,ottunk,
Hungarian,Tense,abc,ottunk,
Hungarian,Tense,abc,otttok,
Hungarian,Tense,abc,otttek,
Hungarian,Tense,abc,otttok,
Hungarian,Tense,abc,ottotok,
Hungarian,Tense,abc,ottetok,
Hungarian,Tense,abc,ottotok,
Hungarian,Tense,abc,ottnak,
Hungarian,Tense,abc,ottnek,
Hungarian,Tense,xyz,fogok,
Hungarian,Tense,xyz,fogsz,
Hungarian,Tense,xyz,fog,
Hungarian,Tense,xyz,fogunk,
Hungarian,Tense,xyz,fogtok,
Hungarian,Tense,xyz,fognak,
Hungarian,Tense,xyz,fogom,
Hungarian,Tense,xyz,fogod,
Hungarian,Tense,xyz,fogja,
Hungarian,Tense,xyz,fogjuk,
Hungarian,Tense,xyz,fogjatok,
Hungarian,Tense,xyz,fogjak,
Awa Pit,Tense,abc,ata,
Awa Pit,Tense,abc,ti,
Awa Pit,Tense,abc,ati,
Awa Pit,Tense,abc,ta,
Awa Pit,Tense,r,,
Awa Pit,Tense,xyz,ani,
Awa Pit,Tense,xyz,ni,
Hixkaryana,Tense,a,ye,
Hixkaryana,Tense,a,txowni,
Hixkaryana,Tense,a,yakoni,
Hixkaryana,Tense,a,yatxkoni,
Hixkaryana,Tense,b,yako,
Hixkaryana,Tense,b,yatxoko,
Hixkaryana,Tense,b,yaknano,
Hixkaryana,Tense,b,yatxkenano,
